인허가일자,영업상태구분코드,영업상태명,폐업일자,구,법정동,도로명전체주소,사업장명,업태구분명,좌표정보(x),좌표정보(y),행정동명,행정동코드,소재지면적,교통 수,집객시설 수,교육 수,경쟁자 수,인허가 영업,인허가 폐업,인허가 영업+폐업,타업종비율,타업종경쟁자,버퍼내폐업비율,영업기간,,아파트 세대수,제곱미터 당 임대료,임대료,총생활인구수,점심저녁시간대 생활인구수,골목상권,발달상권,구분불가,전통시장,관광특구,생존확률,생존예측
20210726,0,영업/정상,,서초구,잠원동,"서울특별시 서초구 잠원로 69, 뉴코아아울렛 강남점 3관 1층 (잠원동)",차이(Chai)797 뉴코아강남점,중국식,200538.8275,445335.6672,반포3동,11650580,172,64,18,462,51,334,431,765,0.933333333,714,0.563398693,371,1,23222,41246.32875,7094,22868.18661,25847.2077,0,0,1,0,0,0.10650014,0
20180112,0,영업/정상,,서초구,반포동,"서울특별시 서초구 사평대로 205, 센트럴시티 2층 FP218호 (반포동)",차알반포 주식회사,중국식,200514.003,444644.7712,반포4동,11650581,120,83,19,479,60,405,528,933,0.935691318,873,0.565916399,1662,1,20852,48568.03875,5828,43342.3542,50716.61358,0,0,1,0,0,0.10650014,0
20220414,0,영업/정상,,서초구,반포동,"서울특별시 서초구 신반포로 194, 서울고속터미널 본관 B1층 푸드3호 (반포동)",고터웍,중국식,200554.744,444811.3648,반포4동,11650581,52,79,19,460,56,348,447,795,0.929559748,739,0.562264151,109,1,22069,48568.03875,2521,43342.3542,50716.61358,0,0,1,0,0,0.10650014,0
20171208,0,영업/정상,,서초구,반포동,"서울특별시 서초구 사평대로18길 5, 위너스빌 1층 (반포동)",주미요,중국식,199562.0674,444047.9073,반포4동,11650581,131,79,16,244,38,415,492,907,0.958103638,869,0.54244763,1697,1,6612,48568.03875,6371,43342.3542,50716.61358,0,0,1,0,0,0.10650014,0
20200325,0,영업/정상,,서초구,반포동,"서울특별시 서초구 신반포로 194, 강남고속버스터미널 1층 1,2호 (반포동)",청룡각,중국식,200554.744,444811.3648,반포4동,11650581,78,79,19,460,56,348,447,795,0.929559748,739,0.562264151,859,1,22069,48568.03875,3789,43342.3542,50716.61358,0,0,1,0,0,0.10650014,0
20211228,0,영업/정상,,서초구,반포동,"서울특별시 서초구 사평대로 205, 센트럴시티 파미에스테이션 1층 FP116호 (반포동)",마르르(marrr),중국식,200514.003,444644.7712,반포4동,11650581,60,83,19,479,60,405,528,933,0.935691318,873,0.565916399,216,1,20852,48568.03875,2890,43342.3542,50716.61358,0,0,1,0,0,0.10650014,0
20200424,0,영업/정상,,서초구,반포동,"서울특별시 서초구 신반포로 176, 하차장 중1층 FPM1호 (반포동)",딤딤섬 센트럴시티점,중국식,200250.4478,444683.2205,반포4동,11650581,218,70,17,455,62,450,547,997,0.93781344,935,0.548645938,829,1,15296,48568.03875,10598,43342.3542,50716.61358,0,0,1,0,0,0.10650014,0
20200622,0,영업/정상,,서초구,반포동,"서울특별시 서초구 신반포로 176, 신세계센트럴시티 1층중층 M10호 (반포동)",중화가정 신세계센트럴시티점,중국식,200250.4478,444683.2205,반포4동,11650581,81,70,17,455,62,450,547,997,0.93781344,935,0.548645938,770,1,15296,48568.03875,3934,43342.3542,50716.61358,0,0,1,0,0,0.10650014,0
20211203,0,영업/정상,,서초구,반포동,"서울특별시 서초구 신반포로 176, 3층 (반포동)",(주)조선호텔앤리조트 모트32 서울,중국식,200250.4478,444683.2205,반포4동,11650581,661,70,17,455,62,450,547,997,0.93781344,935,0.548645938,241,1,15296,48568.03875,32111,43342.3542,50716.61358,0,0,1,0,0,0.10650014,0
20210705,0,영업/정상,,서초구,반포동,"서울특별시 서초구 신반포로 194, 강남고속버스터미널 지하1층 점포9호 (반포동)",신룽푸마라탕 고속버스터미널점,중국식,200554.744,444811.3648,반포4동,11650581,76,79,19,460,56,348,447,795,0.929559748,739,0.562264151,392,1,22069,48568.03875,3676,43342.3542,50716.61358,0,0,1,0,0,0.10650014,0
20220519,0,영업/정상,,서초구,반포동,"서울특별시 서초구 신반포로 194, 강남고속터미널 본관1층 104호 (반포동)",제레미20 강남고속터미널점,중국식,200554.744,444811.3648,반포4동,11650581,20,79,19,460,56,348,447,795,0.929559748,739,0.562264151,74,1,22069,48568.03875,954,43342.3542,50716.61358,0,0,1,0,0,0.10650014,0
20190326,0,영업/정상,,서초구,방배동,"서울특별시 서초구 도구로 111, 1층 (방배동)",오성수타짜장 본점,중국식,198678.2974,442689.4754,방배2동,11650610,56,118,20,304,78,1009,909,1918,0.959332638,1840,0.473931178,1224,1,8127,34658.0905,1943,20575.19946,22618.54494,0,0,1,0,0,0.19898562,0
20191010,0,영업/정상,,서초구,방배동,"서울특별시 서초구 서초대로 28, 장현빌딩 1층 (방배동)",월량,중국식,198651.904,442592.3787,방배2동,11650610,78,104,22,295,86,1121,971,2092,0.958891013,2006,0.46414914,1026,1,8776,34658.0905,2703,20575.19946,22618.54494,0,0,1,0,0,0.19898562,0
20190508,0,영업/정상,,서초구,방배동,"서울특별시 서초구 방배로13길 15, 2층 202호 (방배동)",명품훠궈 샤브샤브,중국식,199548.1605,442289.9671,방배3동,11650620,134,106,9,202,39,376,385,761,0.948751643,722,0.505913272,1181,1,5034,34658.0905,4628,17361.32703,15187.01226,0,0,1,0,0,0.10650014,0
20220204,0,영업/정상,,서초구,방배동,"서울특별시 서초구 효령로31길 14, 지하1층 5호 (방배동)",라사천마라탕 방배점,중국식,199639.8606,442195.0486,방배3동,11650620,22,101,9,177,35,330,340,670,0.947761194,635,0.507462687,178,1,5188,34658.0905,762,17361.32703,15187.01226,0,0,1,0,0,0.10650014,0
20200304,0,영업/정상,,서초구,방배동,"서울특별시 서초구 방배로13길 18, 1층 118호 (방배동, 방배아크로타워)",귀인만두,중국식,199513.0405,442328.581,방배3동,11650620,23,103,11,204,39,400,410,810,0.951851852,771,0.50617284,880,1,5778,34658.0905,804,17361.32703,15187.01226,0,0,1,0,0,0.10650014,0
20190829,0,영업/정상,,서초구,반포동,"서울특별시 서초구 서래로1길 10, 1층 (반포동)",FOOD DOES MATTER(푸드 더즈 매터),중국식,199719.5214,443785.5715,방배4동,11650621,139,84,14,161,33,325,339,664,0.950301205,631,0.510542169,1068,1,3527,48568.03875,6743,27331.1617,27406.91783,0,0,1,0,0,0.10650014,0
20210222,0,영업/정상,,서초구,방배동,"서울특별시 서초구 동광로 19, 1층 (방배동)",진준안중화요리,중국식,198615.7132,443203.3947,방배4동,11650621,149,105,15,341,66,772,754,1526,0.956749672,1460,0.494102228,525,1,11788,34658.0905,5147,27331.1617,27406.91783,0,0,1,0,0,0.18529493,0
20191129,0,영업/정상,,서초구,우면동,"서울특별시 서초구 식유촌길 69, 1층 A호 (우면동)",후후훠궈,중국식,200965.7486,439564.7552,양재1동,11650651,25,11,1,13,2,12,8,20,0.9,18,0.4,976,1,1632,32100.695,803,53883.53262,57490.43826,0,0,1,0,0,0.011347835,0
20210119,0,영업/정상,,서초구,우면동,"서울특별시 서초구 성촌1길 20, 3층 301호 (우면동)",짬뽕상회,중국식,201850.0178,440371.3944,양재1동,11650651,92,31,1,62,8,51,73,124,0.935483871,116,0.588709677,559,1,5167,32100.695,2967,53883.53262,57490.43826,0,0,1,0,0,0.012904987,0
