교육 수,교통 수,버퍼내폐업비율,아파트 세대수,임대료,점심저녁시간대 생활인구수,집객시설 수,타업종경쟁자
120,79,0.466216216,7891,1322,27407.09329,9,1137
677,72,0.520758123,18395,3949,12830.53078,13,1041
677,69,0.51838565,18783,2640,12830.53078,13,1049
109,70,0.492553778,2455,1811,23937.25458,13,1748
115,62,0.487270876,2509,1919,23937.25458,14,1889
132,63,0.49656526,2509,2452,23937.25458,14,1961
114,64,0.491071429,3125,3362,23937.25458,13,1942
98,74,0.489167617,2638,5338,23937.25458,12,1691
163,104,0.471575023,11846,2192,12993.74105,15,1997
162,106,0.471575023,10836,3000,12993.74105,16,2000
142,108,0.466990291,12195,1129,12993.74105,14,1913
143,91,0.526734104,3219,1209,19314.25885,7,1328
213,110,0.482826948,16501,3275,34152.22118,21,1417
232,112,0.473364801,18525,13017,34152.22118,20,1393
133,95,0.536423841,8872,1257,27908.211,9,1420
133,82,0.52685422,8517,437,12627.52288,10,1459
137,81,0.538461538,8764,1283,12627.52288,10,1383
142,82,0.533515732,8764,1419,12627.52288,10,1364
199,80,0.505565863,13623,1074,32931.6198,6,1040
236,85,0.537037037,21224,2658,39876.45671,7,515
272,103,0.52666987,16621,1973,15225.36949,14,2000
211,77,0.511056511,12014,1140,20626.42224,14,1962
241,90,0.51925078,16245,2041,20626.42224,14,1850
348,110,0.530798072,3939,2266,21351.53591,9,1819
346,106,0.524038462,2431,763,21351.53591,8,1828
342,107,0.522019334,2431,4945,21351.53591,8,1818
92,118,0.486477115,6875,431,48294.13887,20,2267
93,120,0.485753519,6709,7969,48294.13887,23,2292
121,96,0.508055236,12137,8054,34851.63155,21,1525
122,92,0.493417588,12734,3597,34851.63155,22,1657
121,96,0.508055236,12137,982,34851.63155,21,1525
130,92,0.507803121,11212,686,34851.63155,21,1474
143,95,0.468886463,11439,773,7103.431285,11,1706
78,117,0.486578611,5905,1029,11153.65005,20,2037
82,133,0.502952414,5076,1328,11153.65005,26,2530
82,129,0.495253165,6402,446,11153.65005,23,2186
90,112,0.496631376,9819,2172,34851.63155,19,1769
88,120,0.489352455,7477,1928,34851.63155,22,1972
99,109,0.509120172,10246,1109,34851.63155,18,1585
96,118,0.49277825,7904,1262,34851.63155,22,2005
90,114,0.485651214,7477,1372,34851.63155,20,1941
104,92,0.507285483,11572,1624,34851.63155,17,1600
95,117,0.491904395,7306,1153,18022.5886,21,2092
96,114,0.491327148,7472,1116,18022.5886,22,1969
98,117,0.492851469,7306,943,18022.5886,20,2018
97,118,0.501460159,8495,794,18022.5886,22,2017
95,117,0.491054435,7760,1447,18022.5886,23,2155
95,119,0.486375513,7306,1372,18022.5886,23,2175
177,75,0.465065502,13745,920,21563.97656,15,880
146,122,0.475824176,10798,1262,24944.83827,15,1531
100,93,0.563073394,3854,1536,11110.7312,12,1583
80,99,0.556213018,3491,1046,11110.7312,14,1847
94,117,0.518773946,4949,1437,20675.0014,11,2293
86,118,0.51537279,4582,1442,20675.0014,13,2312
94,100,0.537307033,3731,631,20675.0014,16,2134
95,100,0.529142381,3731,1696,20675.0014,16,2197
94,101,0.538124452,3731,683,20675.0014,16,2085
91,102,0.525571726,3731,682,20675.0014,16,2198
91,98,0.541476755,3731,902,20675.0014,15,2005
147,124,0.482109228,12707,2144,24944.83827,13,1394
154,132,0.493791088,13791,593,24944.83827,11,1240
113,75,0.511757426,2592,1880,26465.70576,8,1550
193,106,0.518261674,3871,2419,26465.70576,8,2069
185,91,0.526744186,3631,1796,26465.70576,11,2486
166,119,0.482014388,16052,2404,11445.25174,10,1268
151,116,0.459427904,13437,694,11445.25174,11,1575
205,104,0.509915014,18740,1320,19114.97627,7,996
272,114,0.487525988,16482,989,19114.97627,6,925
173,108,0.494725153,15861,1079,17555.13785,12,1413
174,105,0.487881981,13376,609,17555.13785,12,1435
155,89,0.561681599,4011,871,28933.52476,7,1356
154,91,0.563486616,4011,956,28933.52476,8,1358
147,91,0.56207367,4208,2045,28933.52476,7,1371
135,111,0.469583333,9766,1881,18843.2556,14,1853
135,111,0.469583333,9766,715,18843.2556,14,1853
132,106,0.472412404,10417,3216,18843.2556,12,1929
126,108,0.475724764,8400,1394,18843.2556,14,2269
131,110,0.47266881,10815,975,18843.2556,14,2212
138,107,0.468067906,10113,965,18843.2556,12,1923
133,106,0.4792498,9484,1072,18843.2556,12,1961
128,107,0.478964401,7402,1774,18843.2556,11,1942
139,106,0.468292683,10113,845,18843.2556,13,1910
