경쟁자 수,교통 수,인허가 폐업,임대료,점심저녁시간대 생활인구수,집객시설 수,타업종비율
127,67,532,1113,28056.87549,10,0.916939176
177,77,737,2256,28056.87549,13,0.910425101
170,70,669,1636,28056.87549,14,0.908008658
175,68,662,2998,28056.87549,14,0.904475983
167,75,746,2722,28056.87549,11,0.915784165
177,71,710,5017,28056.87549,13,0.908290155
266,55,1169,2563,27768.72215,16,0.889626556
249,54,1007,2145,27768.72215,13,0.881710214
78,66,651,827,10481.63028,18,0.945530726
78,66,651,1620,10481.63028,18,0.945530726
218,32,1052,629,27768.72215,6,0.886280647
196,34,857,572,27768.72215,7,0.87602783
259,82,1440,1831,26737.12397,20,0.904954128
269,81,1493,599,26737.12397,21,0.904508342
290,83,1567,667,26737.12397,22,0.902258173
291,85,1586,1243,26737.12397,21,0.902217742
289,92,1588,1547,26737.12397,23,0.903150134
276,88,1423,593,26737.12397,20,0.898417372
245,144,1625,1771,11153.65005,22,0.924638573
245,88,985,2184,36338.43718,13,0.871052632
231,114,977,1085,26697.50493,13,0.873701476
228,112,979,1918,26697.50493,13,0.876556578
71,95,222,3968,16595.98649,10,0.890769231
123,93,633,1333,34418.83947,5,0.895850974
250,79,1184,679,26698.17565,15,0.887992832
93,76,414,2389,14703.70065,7,0.897009967
84,81,320,1577,14703.70065,7,0.890339426
92,87,405,1290,14703.70065,6,0.897321429
137,87,860,1092,32500.0954,18,0.916156671
125,83,872,469,32500.0954,20,0.923076923
126,86,845,596,32500.0954,20,0.921102066
83,50,365,975,15749.29261,3,0.87518797
228,130,657,422,37557.40959,11,0.86532782
25,60,70,1388,48711.11834,2,0.803149606
25,60,70,1859,48711.11834,2,0.803149606
408,106,1312,1977,35105.88129,70,0.883628066
119,76,594,1453,16066.15605,6,0.893464637
135,86,684,1286,16066.15605,9,0.895186335
91,99,286,1164,16595.98649,15,0.896590909
80,92,270,4795,16595.98649,12,0.903846154
123,83,740,1267,43038.28137,15,0.923459863
221,109,1459,1883,48294.13887,12,0.923924269
224,124,1411,3259,34321.39937,16,0.917707568
94,110,669,601,20746.05601,18,0.933568905
133,70,993,1004,33995.93147,15,0.928915019
141,69,863,366,19726.04428,16,0.909731114
104,81,560,849,14703.70065,7,0.905797101
109,85,512,478,14703.70065,7,0.900456621
136,87,532,1371,23667.05304,6,0.875571821
129,57,657,967,24113.64599,11,0.892857143
145,60,721,448,24113.64599,11,0.892273403
94,82,465,2081,27407.09329,7,0.907662083
86,77,427,337,27407.09329,6,0.906215921
204,95,1131,1132,34851.63155,24,0.913117547
82,90,552,1133,42257.62962,10,0.933061224
95,58,444,715,15749.29261,5,0.881693649
34,68,142,1465,19983.21013,2,0.872180451
312,52,2062,591,52943.28146,178,0.923828125
271,64,1303,1460,52943.28146,71,0.895447531
141,66,622,2174,20116.34637,14,0.889498433
110,124,369,3236,16017.52461,7,0.858064516
92,136,359,3925,16017.52461,7,0.880364109
114,116,449,1151,16017.52461,10,0.876489707
142,114,529,2179,25758.71148,9,0.870791629
122,79,506,933,14314.37103,7,0.870625663
286,81,1014,411,18597.21201,6,0.847953216
230,86,819,715,18597.21201,7,0.844278944
286,81,1014,411,18597.21201,6,0.847953216
268,86,902,840,18597.21201,7,0.839328537
106,71,529,1002,12830.53078,12,0.894736842
112,67,540,992,12830.53078,13,0.891577928
169,79,572,1935,42649.78768,5,0.866403162
166,81,909,1069,30970.59425,19,0.902237927
281,59,1690,1719,52943.28146,86,0.916814683
283,65,1817,3465,52943.28146,104,0.921909492
273,58,1556,720,52943.28146,74,0.912946429
128,59,770,534,13340.90472,8,0.915955351
128,59,764,940,13340.90472,8,0.915399868
