경쟁자 수,교육 수,교통 수,버퍼내폐업비율,인허가 영업,인허가 폐업,임대료,집객시설 수,타업종경쟁자
204,306,51,0.475358423,1171,1061,3314,13,2028
179,377,64,0.480519481,960,888,2602,15,1669
21,158,77,0.506993007,282,290,1366,4,551
178,351,44,0.543456033,893,1063,624,14,1778
178,351,44,0.543456033,893,1063,816,14,1778
126,90,58,0.384131972,784,489,3106,20,1147
121,89,63,0.384094755,728,454,5296,19,1061
109,328,44,0.542134831,652,772,10567,17,1315
95,253,37,0.52917009,573,644,14222,18,1122
109,324,41,0.540673212,655,771,1048,18,1317
109,324,41,0.540673212,655,771,2558,19,1317
113,341,45,0.54526749,663,795,3211,17,1345
122,373,43,0.549457177,747,911,2033,27,1536
795,195,64,0.49985959,1781,1780,2570,64,2766
459,243,126,0.535970192,1619,1870,2216,15,3030
452,264,129,0.552039649,1175,1448,2388,34,2171
451,238,114,0.552526063,1116,1378,2884,32,2043
446,212,103,0.551766639,1091,1343,1941,29,1988
450,244,116,0.551505547,1132,1392,956,30,2074
449,237,113,0.552016129,1111,1369,3208,32,2031
445,222,104,0.550795594,1101,1350,2073,31,2006
191,432,72,0.444302177,868,694,1884,13,1371
34,176,66,0.343023256,339,177,2704,9,482
47,180,85,0.326259947,508,246,478,14,707
191,70,91,0.361763494,1549,878,615,28,2236
94,103,82,0.495462795,278,273,2907,18,457
598,114,72,0.563740229,1451,1875,3502,10,2728
665,188,104,0.561326819,1706,2183,9692,17,3224
561,117,68,0.564070352,1388,1796,3761,12,2623
603,119,74,0.563468415,1465,1891,8668,11,2753
580,126,73,0.559638554,1462,1858,3874,12,2740
574,118,67,0.561922366,1422,1824,2447,10,2672
662,177,100,0.559551733,1690,2147,4853,17,3175
606,129,77,0.558995327,1510,1914,2674,13,2818
585,119,70,0.562214786,1439,1848,1428,10,2702
50,323,70,0.305593452,509,224,1266,12,683
56,323,71,0.313193588,557,254,1044,14,755
51,323,69,0.306040268,517,228,823,12,694
58,323,71,0.313868613,564,258,1436,13,764
82,216,58,0.322736031,703,335,1779,12,956
142,237,64,0.324381625,956,459,1469,15,1273
71,226,53,0.328092243,641,313,3281,11,883
149,49,56,0.412005457,862,604,1468,6,1317
161,61,61,0.426239799,914,679,1668,6,1432
142,61,58,0.432878679,790,603,1750,5,1251
166,68,64,0.427536232,948,708,1713,7,1490
164,66,63,0.420298507,971,704,2607,7,1511
94,257,28,0.550185874,605,740,7536,4,1251
147,275,30,0.550837321,751,921,2750,5,1525
222,72,72,0.375791139,789,475,616,17,1042
222,72,72,0.375791139,789,475,487,16,1042
89,171,73,0.542829644,950,1128,357,18,1989
89,171,73,0.542829644,950,1128,2451,18,1989
89,171,73,0.542829644,950,1128,2010,26,1989
90,184,79,0.544874715,999,1196,1925,20,2105
89,171,73,0.542829644,950,1128,5838,19,1989
99,142,60,0.484565686,718,675,4809,6,1294
634,28,69,0.428938907,888,667,5443,32,921
608,30,69,0.431398417,862,654,5724,36,908
609,32,73,0.426726921,888,661,2737,35,940
170,45,66,0.457202505,260,219,3738,27,309
540,36,68,0.425303788,804,595,1607,34,859
665,33,73,0.430410791,929,702,1521,34,966
518,34,67,0.432890855,769,587,1670,32,838
631,31,75,0.424070573,914,673,2648,35,956
620,31,75,0.426208651,902,670,3539,34,952
624,31,74,0.427295918,898,670,8457,33,944
622,32,76,0.423492063,908,667,7543,36,953
177,44,72,0.449392713,272,222,1949,30,317
547,28,65,0.434163701,795,610,1259,31,858
500,34,69,0.432958801,757,578,3984,31,835
82,108,49,0.487951807,850,810,762,7,1578
205,136,75,0.37619768,1237,746,2751,11,1778
190,158,71,0.365683646,1183,682,2045,14,1675
205,136,75,0.37619768,1237,746,4863,10,1778
185,171,71,0.362750406,1177,670,1786,13,1662
185,171,71,0.362750406,1177,670,3675,13,1662
199,149,73,0.374281234,1197,716,1523,12,1714
206,103,86,0.374277457,1299,777,737,11,1870
205,136,75,0.37619768,1237,746,2000,10,1778
206,103,86,0.374277457,1299,777,1846,11,1870
188,174,70,0.362012987,1179,669,4455,14,1660
205,136,75,0.37619768,1237,746,2957,11,1778
232,109,84,0.382277397,1443,893,8566,11,2104
194,148,71,0.367875648,1220,710,9088,12,1736
145,267,43,0.520045172,850,921,4039,12,1626
143,255,44,0.518434487,849,914,6196,12,1620
157,308,52,0.490059642,1026,986,1577,18,1855
758,21,71,0.452618454,878,726,2298,19,846
761,19,75,0.449874687,878,718,438,22,835
761,19,75,0.449874687,878,718,396,21,835
755,22,71,0.452723857,874,723,2764,19,842
761,19,75,0.449874687,878,718,4086,23,835
755,22,71,0.452723857,874,723,2937,19,842
751,19,74,0.45134443,857,705,1803,25,811
686,21,66,0.452229299,774,639,2850,16,727
731,23,70,0.452179571,842,695,6692,21,806
681,22,65,0.453333333,779,646,3356,20,744
731,23,70,0.452179571,842,695,2791,19,806
272,23,36,0.434886499,473,364,5946,23,565
274,24,39,0.433649289,478,366,23671,20,570
283,26,41,0.437062937,483,375,3987,23,575
281,24,40,0.438657407,485,379,6948,22,583
118,80,63,0.487229862,261,248,6298,14,391
166,15,27,0.413153457,348,245,6941,17,427
276,28,41,0.440408627,493,388,1299,23,605
234,42,46,0.415601023,457,325,1941,19,548
271,24,36,0.438596491,480,375,7271,20,584
166,15,27,0.413153457,348,245,14144,17,427
233,45,48,0.416133163,456,325,4872,28,548
272,23,33,0.436754177,472,366,3735,19,566
283,24,43,0.438799076,486,380,3714,27,583
259,24,37,0.426433915,460,342,2156,20,543
122,144,125,0.456202234,925,776,488,10,1579
172,234,34,0.546310832,867,1044,2490,7,1739
115,212,34,0.542061986,724,857,1418,7,1466
119,189,136,0.445478723,834,670,2634,16,1385
116,192,142,0.459385666,792,673,4159,16,1349
53,60,45,0.522563767,730,799,1642,14,1476
199,189,85,0.516523314,1068,1141,2808,15,2010
140,266,114,0.534171679,852,977,1281,14,1689
562,279,90,0.475814413,1593,1446,3744,38,2477
207,88,64,0.510047847,512,533,3026,7,838
207,88,64,0.510047847,512,533,2597,6,838
212,88,64,0.506196378,518,531,1504,8,837
244,116,74,0.489156627,636,609,1580,15,1001
114,64,60,0.542635659,295,350,2428,6,531
37,165,95,0.339534884,426,219,3301,12,608
174,111,84,0.527333894,562,627,831,5,1015
161,101,80,0.523020258,518,568,1635,4,925
176,111,83,0.522959184,561,615,786,5,1000
157,88,77,0.517006803,497,532,188,4,872
156,145,89,0.536746491,561,650,1466,5,1055
59,239,76,0.522971652,976,1070,1142,12,1987
64,209,82,0.530782762,1067,1207,640,13,2210
30,174,77,0.446191052,458,369,717,7,797
30,174,77,0.446191052,458,369,315,15,797
30,174,77,0.446191052,458,369,788,7,797
