인허가일자,영업상태구분코드,영업상태명,폐업일자,구,법정동,도로명전체주소,사업장명,업태구분명,좌표정보(x),좌표정보(y),행정동명,행정동코드,소재지면적,교통 수,집객시설 수,교육 수,경쟁자 수,인허가 영업,인허가 폐업,인허가 영업+폐업,타업종비율,타업종경쟁자,버퍼내폐업비율,영업기간,아파트 세대수,제곱미터 당 임대료,임대료,총생활인구수,점심저녁시간대 생활인구수,골목상권,발달상권,구분불가,전통시장,관광특구,생존확률,생존여부
20220502,0,영업/정상,,양천구,신월동,"서울특별시 양천구 오목로7길 25, 상가동 1층 103호 (신월동, 성우아파트)",부대꼬마김밥 신월점,분식,185881.4165,446879.5765,신월4동,11470590,29,51,5,179,114,714,693,1407,0.918976546,1293,0.492537313,91,11599,25412.63607,726,11425.35018,10160.0401,1,0,0,0,0,0.022840338,0
20170822,0,영업/정상,,양천구,목동,"서울특별시 양천구 목동중앙본로 67, 지하1층 (목동)",보끔,분식,188352.8493,448865.507,목4동,11470540,22,55,6,468,123,450,521,971,0.873326468,848,0.536560247,1805,11454,36652.715,821,18240.20166,16804.03666,1,0,0,0,0,0.012449829,0
20191105,0,영업/정상,,마포구,성산동,"서울특별시 마포구 월드컵로34길 14, 벽산상암스마트큐브 1층 105호 (성산동)",골드킹365,분식,191441.6783,451425.9701,망원2동,11440700,24,90,9,188,109,430,494,924,0.882034632,815,0.534632035,1000,7131,33678.2325,811,16617.59881,16066.15605,1,0,0,0,0,0.012449829,0
20171211,0,영업/정상,,마포구,성산동,"서울특별시 마포구 월드컵로 205, 도시개발공사성산아파트 108호 일부 (성산동)",김밥&우동,분식,191197.3579,451340.1392,망원2동,11440700,17,72,9,116,103,401,452,853,0.879249707,750,0.52989449,1694,6148,33678.2325,561,16617.59881,16066.15605,1,0,0,0,0,0.012449829,0
20190429,0,영업/정상,,강서구,화곡동,"서울특별시 강서구 곰달래로 246, 녹정빌딩 1층 (화곡동)",최배달 딜리버리,분식,187577.4621,447737.4582,신정4동,11470650,66,99,10,333,149,684,778,1462,0.898084815,1313,0.532147743,1190,4139,32815.28643,2170,32388.60485,30970.59425,1,0,0,0,0,0.014836066,0
20190510,0,영업/정상,,강서구,화곡동,"서울특별시 강서구 강서로16길 5, 1층 (화곡동)",토마토김밥,분식,186374.8406,447846.281,화곡1동,11500540,39,80,6,188,118,754,645,1399,0.915654039,1281,0.461043603,1179,2559,32815.28643,1280,48426.06878,44660.5002,1,0,0,0,0,0.01625814,0
20190909,0,영업/정상,,강서구,화곡동,"서울특별시 강서구 강서로 52, 화곡판타지아 1층 117호 (화곡동)",마약김밥,분식,186379.9592,447815.589,화곡1동,11500540,6,79,6,188,115,742,633,1375,0.916363636,1260,0.460363636,1057,2728,32815.28643,212,48426.06878,44660.5002,1,0,0,0,0,0.01625814,0
20191219,0,영업/정상,,강서구,화곡동,"서울특별시 강서구 강서로 39, 1층 101호 (화곡동)",먹깨비김밥,분식,186378.523,447688.25,화곡1동,11500540,24,67,7,196,115,740,646,1386,0.917027417,1271,0.466089466,956,3150,32815.28643,788,48426.06878,44660.5002,1,0,0,0,0,0.01625814,0
20200813,0,영업/정상,,강서구,화곡동,"서울특별시 강서구 강서로 지하 54, 까치산역 지하 1층 518-107호 (화곡동)",한우가 수제분식,분식,186341.6251,447821.6434,화곡1동,11500540,21,79,6,194,115,751,652,1403,0.918032787,1288,0.46471846,718,2964,32815.28643,697,48426.06878,44660.5002,1,0,0,0,0,0.01625814,0
20180322,0,영업/정상,,구로구,궁동,"서울특별시 구로구 부일로15길 23, 1층 (궁동)",기봉이김밥,분식,185195.4296,443550.1424,오류2동,11530780,34,83,3,87,96,279,316,595,0.838655462,499,0.531092437,1593,4305,26308.1225,894,50889.17193,47422.94108,1,0,0,0,0,0.041583054,0
