경쟁자 수,교육 수,교통 수,버퍼내폐업비율,아파트 세대수,임대료,점심저녁시간대 생활인구수,집객시설 수,타업종경쟁자,타업종비율
33,35,37,0.438848921,1501,1761,16070.87946,3,801,0.960431655
367,264,51,0.515281174,10890,3660,49970.30897,144,2905,0.887836186
138,142,30,0.499528746,9802,17664,49970.30897,71,923,0.869934025
130,143,30,0.498504487,9802,6803,49970.30897,68,873,0.870388833
64,310,94,0.495812395,19559,671,16588.93994,17,1130,0.94639866
28,148,77,0.558161351,17811,561,21773.75122,4,1038,0.973733583
93,119,64,0.50896861,8485,1727,15127.96809,8,1245,0.930493274
93,118,66,0.512304251,8485,4753,15127.96809,8,1248,0.93064877
157,292,106,0.493639922,18249,1005,32364.83017,17,1887,0.923189824
104,276,78,0.46679198,7479,1149,32537.41686,16,1492,0.934837093
115,148,61,0.361355932,7894,1149,28056.87549,9,1360,0.922033898
155,144,104,0.462970983,7215,7950,42649.78768,16,2154,0.932871373
155,144,104,0.462970983,7215,3002,42649.78768,16,2154,0.932871373
155,144,104,0.462970983,7215,3416,42649.78768,16,2154,0.932871373
155,144,104,0.462970983,7215,7560,42649.78768,16,2154,0.932871373
155,144,104,0.462970983,7215,1517,42649.78768,16,2154,0.932871373
155,144,104,0.462970983,7215,3078,42649.78768,19,2154,0.932871373
300,457,40,0.516428571,10202,2157,53069.27567,272,2500,0.892857143
345,441,46,0.514322917,7072,2870,53069.27567,283,2727,0.887695313
140,67,137,0.519786432,3211,1804,72929.04225,17,3044,0.956030151
108,209,101,0.449379491,16987,1062,42649.78768,10,1423,0.929457871
76,177,113,0.476714649,23082,2641,41420.82633,8,1105,0.935647756
62,407,82,0.542188805,16953,952,26986.96295,9,1135,0.948203843
106,576,86,0.539735099,9213,1103,30970.59425,16,1706,0.941501104
107,587,84,0.540033131,9213,668,30970.59425,16,1704,0.940916621
92,27,56,0.447051363,750,1365,14473.70103,14,1485,0.941661382
96,33,61,0.450669915,750,1948,14473.70103,16,1546,0.941534714
128,94,77,0.369638826,4358,5096,40993.88901,11,1644,0.927765237
125,119,74,0.362630966,4594,1954,40993.88901,13,1593,0.927240978
118,90,77,0.370455857,5151,8049,40993.88901,17,1615,0.931909983
118,90,77,0.370455857,5151,8049,40993.88901,9,1615,0.931909983
118,90,77,0.370455857,5151,7976,40993.88901,9,1615,0.931909983
77,244,81,0.507531866,11381,1682,55277.9273,14,1649,0.955388181
73,296,76,0.540311174,11379,1048,55277.9273,12,1341,0.948373409
68,289,78,0.523880597,9723,885,55277.9273,10,1272,0.949253731
105,88,73,0.426918392,7311,1919,21111.77682,11,1537,0.936053593
105,87,74,0.428571429,7311,1862,21111.77682,8,1568,0.937238494
105,90,72,0.421894219,7311,4112,21111.77682,10,1521,0.935424354
366,123,72,0.56411007,5486,2128,25660.57992,13,3050,0.892857143
385,147,82,0.564439474,5486,11202,25660.57992,11,3192,0.892367906
347,118,74,0.568657635,5486,1845,25660.57992,9,2901,0.893165025
362,140,81,0.568195179,6216,2169,25660.57992,11,3040,0.893592005
370,136,81,0.566628042,5486,3258,25660.57992,10,3082,0.892815759
356,119,71,0.564878634,5486,2655,25660.57992,11,2981,0.893317351
375,176,102,0.575740637,7198,3912,25660.57992,15,3203,0.895192845
393,180,95,0.570845798,7132,2914,25660.57992,16,3284,0.893119391
352,143,80,0.57108288,6216,1705,25660.57992,9,2954,0.893526921
71,110,86,0.447227191,3119,411,24959.37612,6,1606,0.957662493
