인허가일자,영업상태구분코드,영업상태명,폐업일자,구,법정동,도로명전체주소,사업장명,업태구분명,좌표정보(x),좌표정보(y),행정동명,행정동코드,소재지면적,교통 수,집객시설 수,교육 수,경쟁자 수,인허가 영업,인허가 폐업,인허가 영업+폐업,타업종비율,타업종경쟁자,버퍼내폐업비율,영업기간,아파트 세대수,제곱미터 당 임대료,임대료,총생활인구수,점심저녁시간대 생활인구수,골목상권,발달상권,구분불가,전통시장,관광특구,생존확률,생존예측
20180207,0,영업/정상,,관악구,봉천동,"서울특별시 관악구 봉천로47길 19, 1층 (봉천동)",P'S(피스),일식,195575.3499,442357.2107,청룡동,11620595,25,83,15,251,170,1160,1235,2395,0.929018789,2225,0.51565762,1636,11713,34241.72278,856,38413.0514,36338.43718,0,1,0,0,0,0.065798886,0
20180620,0,영업/정상,,관악구,봉천동,"서울특별시 관악구 관악로 195, 111-113호 (봉천동, 관악위버폴리스)",수제요리섬,일식,195793.554,442281.6829,청룡동,11620595,96,80,20,199,163,1127,1199,2326,0.929922614,2163,0.515477214,1503,10779,34241.72278,3293,38413.0514,36338.43718,0,1,0,0,0,0.065798886,0
20200602,0,영업/정상,,관악구,봉천동,"서울특별시 관악구 관악로 195, 109-110호 (봉천동, 관악위버폴리스)",프리미엄 섬,일식,195793.554,442281.6829,청룡동,11620595,53,80,14,199,163,1127,1199,2326,0.929922614,2163,0.515477214,790,10779,34241.72278,1831,38413.0514,36338.43718,0,1,0,0,0,0.065798886,0
20191118,0,영업/정상,,강남구,청담동,"서울특별시 강남구 도산대로85길 13, 지상2층 (청담동)",스시 장종현,일식,204257.6112,447029.5536,청담동,11680565,83,48,117,232,225,977,1025,2002,0.887612388,1777,0.511988012,987,12026,41681.7775,3451,43196.66173,49970.30897,0,1,0,0,0,0.069038264,0
20211013,0,영업/정상,,강남구,청담동,"서울특별시 강남구 선릉로162길 52, 지상1층 (청담동)",두사라 청담,일식,203886.7311,447075.3194,청담동,11680565,155,48,154,250,345,1363,1468,2831,0.878134935,2486,0.518544684,292,12630,41681.7775,6476,43196.66173,49970.30897,0,1,0,0,0,0.068161055,0
20200706,0,영업/정상,,강남구,청담동,"서울특별시 강남구 압구정로79길 19, 지상2층 2호 (청담동)",텐 야끼니꾸 ten yakiniku,일식,204242.0877,447010.7065,청담동,11680565,199,49,121,242,236,1007,1072,2079,0.886483886,1843,0.515632516,756,11138,41681.7775,8306,43196.66173,49970.30897,0,1,0,0,0,0.069038264,0
20201210,0,영업/정상,,강남구,청담동,"서울특별시 강남구 압구정로75길 5, 지하2층 (청담동)",보므 청담,일식,204071.5053,447125.3062,청담동,11680565,224,44,140,209,289,1177,1288,2465,0.882758621,2176,0.522515213,599,13718,41681.7775,9330,43196.66173,49970.30897,0,1,0,0,0,0.068161055,0
20220223,0,영업/정상,,마포구,연남동,"서울특별시 마포구 동교로 242-13, 태주빌딩 1층 101호 (연남동)",무겐스위치,일식,193317.9347,451013.9188,서교동,11440660,57,127,21,267,333,1560,1736,3296,0.898968447,2963,0.526699029,159,2584,39811.42,2282,73351.93437,92063.85439,0,1,0,0,0,0.06739235,0
20220324,0,영업/정상,,마포구,연남동,"서울특별시 마포구 동교로 242-4, 송스26 1층 (연남동)",쿠시모토,일식,193267.6536,451015.3839,서교동,11440660,22,124,24,274,331,1484,1695,3179,0.895879207,2848,0.533186537,130,2584,39811.42,871,73351.93437,92063.85439,0,1,0,0,0,0.06739235,0
20211118,0,영업/정상,,마포구,연남동,"서울특별시 마포구 동교로32길 8, 지1층 (연남동)",하나킨,일식,193275.2866,450939.2706,서교동,11440660,43,126,23,276,349,1623,1832,3455,0.898986975,3106,0.53024602,256,3224,39811.42,1712,73351.93437,92063.85439,0,1,0,0,0,0.06739235,0
