인허가일자,영업상태구분코드,영업상태명,폐업일자,구,법정동,도로명전체주소,사업장명,업태구분명,좌표정보(x),좌표정보(y),행정동명,행정동코드,소재지면적,교통 수,집객시설 수,교육 수,경쟁자 수,인허가 영업,인허가 폐업,인허가 영업+폐업,타업종비율,타업종경쟁자,버퍼내폐업비율,영업기간,아파트 세대수,제곱미터 당 임대료,임대료,총생활인구수,점심저녁시간대 생활인구수,골목상권,발달상권,구분불가,전통시장,관광특구,생존확률,생존여부
20211207,0,영업/정상,,강서구,마곡동,"서울특별시 강서구 마곡중앙6로 45, 리더스퀘어마곡 3층 303호 (마곡동)",myoff 마곡,경양식,185144,450938,발산1동,11500611,105,81,11,360,156,789,547,1336,0.883233533,1180,0.409431138,237,10984,40166.2525,4207,35327.64984,35286.78995,0,1,0,0,0,0.018188339,0
20200820,0,영업/정상,,강서구,마곡동,"서울특별시 강서구 마곡중앙6로 45, 리더스퀘어마곡 2층 201호 (마곡동)",셉스라운지,경양식,185144,450938,발산1동,11500611,83,81,8,360,156,789,547,1336,0.883233533,1180,0.409431138,711,10984,40166.2525,3323,35327.64984,35286.78995,0,1,0,0,0,0.018188339,0
20200708,0,영업/정상,,강서구,마곡동,"서울특별시 강서구 마곡중앙6로 45, 리더스퀘어마곡 1층 109호 (마곡동)",라데팡스,경양식,185144,450938,발산1동,11500611,38,81,8,360,156,789,547,1336,0.883233533,1180,0.409431138,754,10984,40166.2525,1534,35327.64984,35286.78995,0,1,0,0,0,0.018188339,0
20210712,0,영업/정상,,강서구,마곡동,"서울특별시 강서구 마곡동로 62, 마곡사이언스타워 1층 117,118호 (마곡동)",평화다방,경양식,185247,450934,발산1동,11500611,91,80,9,360,157,809,592,1401,0.887937188,1244,0.422555318,385,10297,40166.2525,3664,35327.64984,35286.78995,0,1,0,0,0,0.018188339,0
20210528,0,영업/정상,,강서구,마곡동,"서울특별시 강서구 마곡중앙6로 65, 지투프라자 1층 107호 (마곡동)",커스텀커피 마곡점,경양식,185318,450914,발산1동,11500611,41,76,10,368,163,790,596,1386,0.882395382,1223,0.43001443,430,10297,40166.2525,1630,35327.64984,35286.78995,0,1,0,0,0,0.018188339,0
20210521,0,영업/정상,,강서구,마곡동,"서울특별시 강서구 마곡중앙6로 45, 리더스퀘어마곡 1층 129호 (마곡동)",슬로우캘리 마곡점,경양식,185144,450938,발산1동,11500611,38,81,8,360,156,789,547,1336,0.883233533,1180,0.409431138,437,10984,40166.2525,1525,35327.64984,35286.78995,0,1,0,0,0,0.018188339,0
20201015,0,영업/정상,,강서구,마곡동,"서울특별시 강서구 마곡중앙6로 45, 리더스퀘어마곡 1층 118호 (마곡동)",플립 커피 로스터스,경양식,185144,450938,발산1동,11500611,34,81,8,360,156,789,547,1336,0.883233533,1180,0.409431138,655,10984,40166.2525,1384,35327.64984,35286.78995,0,1,0,0,0,0.018188339,0
20210223,0,영업/정상,,강서구,마곡동,"서울특별시 강서구 마곡중앙6로 65, 지투프라자 1층 102호 (마곡동)",고망고,경양식,185318,450914,발산1동,11500611,29,76,10,368,163,790,596,1386,0.882395382,1223,0.43001443,524,10297,40166.2525,1156,35327.64984,35286.78995,0,1,0,0,0,0.018188339,0
20181207,0,영업/정상,,강서구,마곡동,"서울특별시 강서구 마곡동로 62, 마곡사이언스타워 4층 404호 (마곡동)",아이바,경양식,185247,450934,발산1동,11500611,76,80,8,360,157,809,592,1401,0.887937188,1244,0.422555318,1333,10297,40166.2525,3035,35327.64984,35286.78995,0,1,0,0,0,0.018188339,0
20190924,0,영업/정상,,관악구,신림동,"서울특별시 관악구 신림동3길 13-4, 1층 101호 (신림동)",피자파는집 신림점,경양식,193558.7637,442728.9983,신림동,11620695,46,90,16,119,194,1211,1254,2465,0.921298174,2271,0.50872211,1042,2268,31104.7,1418,30257.10923,30211.60385,0,1,0,0,0,0.018188339,0
20200408,0,영업/정상,,관악구,봉천동,"서울특별시 관악구 봉천로13길 5, 1층 (봉천동)",피자선생,경양식,193741.5032,442975.4351,신림동,11620695,25,98,14,127,181,1138,1160,2298,0.921235857,2117,0.504786771,845,2978,34241.72278,853,30257.10923,30211.60385,0,1,0,0,0,0.018188339,0
20210910,0,영업/정상,,관악구,봉천동,"서울특별시 관악구 봉천로 251-1, 1층 (봉천동)",수피아,경양식,193703.4634,442982.5157,신림동,11620695,68,98,14,125,179,1131,1154,2285,0.92166302,2106,0.505032823,325,2978,34241.72278,2335,30257.10923,30211.60385,0,1,0,0,0,0.018188339,0
20210624,0,영업/정상,,관악구,신림동,"서울특별시 관악구 신림동1길 7, 1층 102호 (신림동, 신림오피스텔)",더피자(THE PIZZA) 신림점,경양식,193607.0889,442772.8307,신림동,11620695,55,92,16,120,191,1204,1224,2428,0.921334432,2237,0.504118616,403,2268,31104.7,1714,30257.10923,30211.60385,0,1,0,0,0,0.018188339,0
